method,task_id,task_name,round,success,failure_category,steps,control_turns,event_count,input_tokens,output_tokens,memory_size_after,error
Baseline B,r02_001_RecipeAddSingleRecipe,RecipeAddSingleRecipe,2,False,,24,,,163918,2078,7,
Baseline B,r02_002_CameraTakePhoto,CameraTakePhoto,2,True,,3,,,8906,148,8,
Baseline B,r02_003_BrowserDraw,BrowserDraw,2,False,,20,,,123051,2099,9,
Baseline B,r02_004_ClockStopWatchRunning,ClockStopWatchRunning,2,False,,10,,,41214,709,10,
Baseline B,r03_000_AudioRecorderRecordAudio,AudioRecorderRecordAudio,3,False,,12,,,72872,974,11,
Baseline B,r03_001_RecipeAddSingleRecipe,RecipeAddSingleRecipe,3,False,,24,,,171287,2090,12,
Baseline B,r03_002_CameraTakePhoto,CameraTakePhoto,3,True,,3,,,10096,148,13,
Baseline B,r03_003_BrowserDraw,BrowserDraw,3,False,,20,,,90690,2183,14,
Baseline B,r03_004_ClockStopWatchRunning,ClockStopWatchRunning,3,False,,10,,,41939,686,15,
Baseline B,r04_000_AudioRecorderRecordAudio,AudioRecorderRecordAudio,4,True,,12,,,79023,1239,16,
Baseline B,r04_001_RecipeAddSingleRecipe,RecipeAddSingleRecipe,4,False,,24,,,164745,2071,17,
Baseline B,r04_002_CameraTakePhoto,CameraTakePhoto,4,True,,3,,,10065,148,18,
Baseline B,r04_003_BrowserDraw,BrowserDraw,4,False,,20,,,83490,2271,19,
Baseline B,r04_004_ClockStopWatchRunning,ClockStopWatchRunning,4,False,,10,,,63503,894,20,
Baseline B,r05_000_AudioRecorderRecordAudio,AudioRecorderRecordAudio,5,True,,8,,,32188,637,21,
Baseline B,r05_001_RecipeAddSingleRecipe,RecipeAddSingleRecipe,5,False,,24,,,164402,2070,22,
Baseline B,r05_002_CameraTakePhoto,CameraTakePhoto,5,True,,3,,,9967,148,23,
Baseline B,r05_003_BrowserDraw,BrowserDraw,5,False,,20,,,194540,2747,24,
Baseline B,r05_004_ClockStopWatchRunning,ClockStopWatchRunning,5,True,,7,,,41106,723,25,
DMS,r01_000_AudioRecorderRecordAudio,AudioRecorderRecordAudio,1,False,,12,,,51154,982,1,
DMS,r01_001_RecipeAddSingleRecipe,RecipeAddSingleRecipe,1,False,,24,,,125662,1595,2,
DMS,r01_002_CameraTakePhoto,CameraTakePhoto,1,True,,3,,,10676,151,3,
DMS,r01_003_BrowserDraw,BrowserDraw,1,False,,21,,,30954,217,4,
DMS,r01_004_ClockStopWatchRunning,ClockStopWatchRunning,1,True,,4,,,16479,178,6,
DMS,r02_000_AudioRecorderRecordAudio,AudioRecorderRecordAudio,2,False,,12,,,52613,698,6,
DMS,r02_001_RecipeAddSingleRecipe,RecipeAddSingleRecipe,2,False,,24,,,138507,2524,6,
DMS,r02_002_CameraTakePhoto,CameraTakePhoto,2,True,,3,,,11487,151,6,
DMS,r02_003_BrowserDraw,BrowserDraw,2,False,,20,,,26659,180,6,
DMS,r02_004_ClockStopWatchRunning,ClockStopWatchRunning,2,True,,4,,,8402,63,6,
DMS,r03_000_AudioRecorderRecordAudio,AudioRecorderRecordAudio,3,True,,8,,,43867,628,8,
DMS,r03_001_RecipeAddSingleRecipe,RecipeAddSingleRecipe,3,False,,24,,,150854,1999,9,
DMS,r03_002_CameraTakePhoto,CameraTakePhoto,3,True,,3,,,11540,140,9,
DMS,r03_003_BrowserDraw,BrowserDraw,3,False,,22,,,36158,329,9,
DMS,r03_004_ClockStopWatchRunning,ClockStopWatchRunning,3,True,,4,,,8389,63,9,
DMS,r04_000_AudioRecorderRecordAudio,AudioRecorderRecordAudio,4,True,,7,,,13763,116,9,
DMS,r04_001_RecipeAddSingleRecipe,RecipeAddSingleRecipe,4,False,,24,,,64566,758,9,
DMS,r04_002_CameraTakePhoto,CameraTakePhoto,4,True,,3,,,11533,140,9,
DMS,r04_003_BrowserDraw,BrowserDraw,4,False,,20,,,37745,694,10,
DMS,r04_004_ClockStopWatchRunning,ClockStopWatchRunning,4,True,,4,,,8400,63,10,
DMS,r05_000_AudioRecorderRecordAudio,AudioRecorderRecordAudio,5,True,,7,,,13721,116,10,
DMS,r05_001_RecipeAddSingleRecipe,RecipeAddSingleRecipe,5,False,,24,,,100004,1633,10,
DMS,r05_002_CameraTakePhoto,CameraTakePhoto,5,True,,4,,,15063,228,11,
DMS,r05_003_BrowserDraw,BrowserDraw,5,False,,20,,,42229,556,12,
DMS,r05_004_ClockStopWatchRunning,ClockStopWatchRunning,5,True,,4,,,8309,61,12,
